#Cfactor 0.029518831
Recipient Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13
Pop1_1 1495.67312 2905.67859 3692.43789 2354.00706 930.452477 3843.93571 950.388683 3633.116 3633.48266 3595.23527 2678.87408 537.494529
Pop1_2 1504.37407 2912.82944 3686.63578 2339.13775 928.415419 3840.38068 943.148945 3623.46236 3623.62394 3593.13111 2680.4172 538.599862
Pop1_3 1512.18953 2910.03493 3699.56267 2349.98675 927.773209 3849.17549 949.244225 3636.30696 3632.89508 3583.40417 2672.37484 539.79294
Pop1_4 1500.60756 2907.38579 3684.14386 2342.2409 929.410367 3835.68623 944.31386 3643.93133 3639.88403 3597.98203 2692.56805 535.761904
Pop1_5 1493.26474 2911.16446 3697.88658 2344.28183 930.887391 3837.65745 948.487797 3637.6619 3640.11369 3590.35698 2676.86016 537.349683
Pop1_6 1527.23391 2909.42835 3688.27966 2339.83645 927.715248 3835.38179 946.420865 3621.87946 3623.14954 3580.43709 2676.16496 534.49013
Pop1_7 1488.36931 2922.17235 3698.39258 2349.32788 930.932299 3855.06354 946.323438 3633.52753 3622.57352 3586.37357 2683.41088 540.027852
Pop1_8 1513.836 2919.46751 3699.30615 2348.01087 932.203344 3847.90257 950.461442 3623.81358 3631.32356 3585.73969 2679.03957 540.630925
Pop1_9 1525.13247 2905.75025 3689.07124 2344.641 928.539317 3840.78316 946.530069 3625.69797 3628.60303 3587.69417 2678.03882 538.183862
Pop1_10 1494.94294 2916.3296 3703.39504 2336.96954 930.707205 3847.985 947.910214 3640.85865 3637.78517 3594.21671 2685.83882 537.824472
Pop1_11 1509.31909 2908.87398 3689.84874 2340.70952 930.196468 3839.64245 947.207957 3634.77908 3626.51429 3596.92983 2689.09729 536.334027
Pop1_12 1488.94968 2915.286 3701.86128 2343.58525 932.877091 3851.30276 948.694795 3625.36238 3620.74526 3582.29405 2679.09918 541.25133
Pop1_13 1520.75864 2903.31179 3693.12259 2342.32781 929.134007 3839.64876 943.322171 3631.75991 3635.57328 3597.90935 2687.50369 535.742442
Pop1_14 1509.7336 2908.59694 3686.27313 2344.74308 930.836481 3846.60851 944.326573 3633.96157 3628.92137 3583.10817 2683.05889 538.517986
Pop1_15 1487.6306 2914.98493 3700.83364 2341.3976 929.03045 3842.33393 945.996272 3646.55283 3642.18591 3594.85127 2681.69103 538.410622
Pop1_16 1492.78109 2914.61492 3694.31702 2343.51775 933.232862 3856.50958 950.256437 3636.42193 3633.387 3585.39552 2676.78006 539.622538
Pop1_17 1515.01902 2921.37193 3712.33403 2344.23473 928.602748 3848.02948 950.296649 3628.92241 3628.85248 3563.51084 2657.27462 538.513398
Pop1_18 1512.19077 2921.26583 3706.8504 2342.7506 932.411334 3856.22813 949.884633 3633.57649 3629.13773 3584.8564 2679.24467 540.955924
Pop1_19 1499.16504 2920.30837 3701.50578 2352.492 929.762872 3844.16571 951.633786 3631.75095 3632.26813 3591.60882 2686.3153 536.62026
Pop1_20 1482.29125 2912.22715 3693.37054 2332.65022 932.819235 3844.49663 947.477594 3636.03513 3641.79645 3589.5567 2687.6587 536.994413
Pop1_21 1506.5206 2915.34612 3686.75767 2339.90351 929.298103 3840.37532 947.064548 3628.97298 3625.82998 3588.59959 2686.06436 537.876869
Pop1_22 1492.05726 2908.65806 3697.97066 2348.64743 930.145819 3838.64966 949.770095 3635.13157 3637.78178 3594.68393 2687.43644 537.89976
Pop1_23 1489.90328 2912.52426 3695.54923 2340.95576 930.15815 3841.41289 947.9896 3633.55089 3633.54246 3588.68483 2678.8757 540.567259
Pop1_24 1516.87116 2909.76444 3693.64828 2354.00967 928.552065 3850.01312 944.924054 3622.44192 3625.65105 3588.7109 2680.9288 537.405424
Pop1_25 1479.91701 2915.59818 3683.37668 2336.92634 928.8576 3846.21164 945.218 3638.14858 3634.05747 3608.40829 2691.33255 536.396466
Pop2_1 935.514967 3267.49725 3999.35947 2365.64419 943.185685 3878.74344 958.899207 3549.79473 3554.9436 3495.44625 2608.79821 547.731189
Pop2_2 940.802573 3273.32405 3996.49747 2359.03693 941.725426 3870.12093 961.599789 3534.67275 3534.88765 3506.22602 2624.19949 543.958168
Pop2_3 934.4623 3282.98161 4005.52379 2368.98835 941.204863 3871.72266 961.103212 3536.16472 3537.1746 3506.35046 2612.72062 544.854874
Pop2_4 932.466361 3269.96063 3999.1578 2359.32859 940.055705 3870.71483 958.495333 3532.64818 3541.01911 3500.14313 2616.65874 542.778263
Pop2_5 935.209635 3273.38842 3992.23704 2373.23195 938.00272 3871.24651 957.554019 3555.61313 3556.07086 3507.10809 2618.68126 542.77919
Pop2_6 940.045627 3264.0036 3983.18239 2377.96965 945.869154 3882.98649 966.192511 3541.87081 3537.85823 3502.10147 2621.1446 550.124001
Pop2_7 931.003882 3285.587 4005.03829 2371.78282 946.86563 3879.2699 966.491745 3539.27398 3539.67469 3497.25471 2615.0488 545.595281
Pop2_8 931.017083 3263.64162 3998.62408 2366.26576 941.523582 3850.55543 954.779234 3540.70614 3545.36234 3502.14291 2617.46117 543.232727
Pop2_9 931.953717 3269.01029 3991.45694 2361.84915 938.568685 3861.85593 957.289869 3542.0104 3541.65785 3507.01333 2625.17842 546.476531
Pop2_10 940.604461 3274.71497 3989.84891 2365.89711 938.954342 3862.03388 958.603159 3539.92366 3536.57907 3504.78336 2623.57672 544.119752
Pop2_11 935.827076 3277.93329 4005.29631 2357.37028 940.36962 3872.00134 964.286858 3524.46437 3528.15484 3510.59359 2627.84085 548.495816
Pop2_12 933.962507 3281.9921 3997.50959 2370.49065 943.705228 3879.33671 963.171662 3543.87208 3541.86338 3492.1556 2614.8571 547.609443
Pop2_13 944.115149 3267.52174 4003.52451 2361.31481 943.746985 3867.06599 962.523456 3535.70466 3533.55453 3499.91077 2620.41238 544.620533
Pop2_14 933.34353 3276.34295 4005.91873 2379.66738 942.961166 3874.58441 962.196202 3520.55791 3528.36796 3495.60927 2613.31756 547.313598
