#Cfactor 0.029882076
Recipient Pop1 Pop2 Pop3 Pop4 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13 Pop5
Pop1_1 1521.3045 2940.27556 3735.13445 2380.11206 2712.97851 961.351685 3683.62885 3681.57829 3631.5672 2710.13344 1319.89667 943.180103
Pop1_2 1526.74621 2953.71747 3738.88561 2372.30928 2713.73381 955.452258 3662.57863 3663.17759 3640.26033 2715.69125 1321.81688 940.563593
Pop1_3 1528.67132 2944.54436 3736.91029 2379.60828 2720.87157 959.838247 3690.20535 3683.80291 3623.70411 2701.84808 1325.15007 943.672576
Pop1_4 1509.96373 2944.9288 3740.56076 2370.52716 2715.46609 953.22676 3689.35453 3686.3762 3640.53575 2725.32922 1321.69732 941.112375
Pop1_5 1511.7417 2953.62994 3747.29093 2374.18092 2714.52854 957.228392 3686.57111 3688.03374 3635.8798 2710.87997 1323.14455 942.134469
Pop1_6 1546.85119 2945.17573 3732.88709 2372.38594 2710.36509 960.9604 3668.77962 3669.71804 3622.22803 2707.12193 1317.06734 940.059466
Pop1_7 1510.57478 2962.19457 3749.32476 2381.24317 2727.0039 958.644247 3674.4245 3665.79197 3628.38315 2715.52251 1327.85786 945.9508
Pop1_8 1528.88575 2951.88423 3738.20052 2372.83041 2715.319 959.913511 3675.41551 3682.01036 3632.71625 2713.7788 1324.35049 943.068518
Pop1_9 1538.6971 2943.83661 3734.39209 2374.09571 2716.23704 960.07981 3675.81198 3678.81961 3626.95401 2708.39354 1317.99326 941.063271
Pop1_10 1511.28932 2953.25908 3750.95924 2367.2196 2719.11968 958.419485 3686.46009 3686.03514 3641.63241 2719.71451 1316.30813 938.904191
Pop1_11 1532.25949 2950.72212 3740.67756 2375.60843 2713.79999 954.886799 3676.15407 3670.60364 3641.73143 2722.7372 1321.19609 939.601403
Pop1_12 1508.78855 2951.61757 3746.48779 2378.73766 2721.32049 959.1328 3669.33543 3665.60669 3625.03953 2713.50436 1326.79213 944.412755
Pop1_13 1526.91848 2934.63499 3736.7571 2368.19961 2717.12692 953.883998 3681.01473 3682.97687 3642.78965 2721.01984 1321.32606 939.581684
Pop1_14 1528.07058 2942.64925 3732.40202 2372.39156 2715.19232 959.040169 3681.51237 3678.70223 3633.98957 2717.53778 1319.50198 940.048609
Pop1_15 1512.62929 2950.96015 3745.43869 2371.66931 2716.32037 959.096032 3682.86566 3680.87903 3632.79576 2710.62505 1322.11708 940.910751
Pop1_16 1507.18708 2946.69894 3735.93642 2375.06918 2729.15516 961.649607 3686.09229 3680.63215 3629.12645 2710.20172 1327.73779 946.486702
Pop1_17 1533.51551 2956.07574 3757.64883 2373.56282 2715.69745 959.50404 3672.96269 3673.20459 3614.63584 2697.75723 1315.91021 939.608333
Pop1_18 1529.69853 2952.35825 3743.10176 2370.65446 2720.38829 958.95017 3677.10178 3677.09956 3624.4522 2710.30061 1330.11206 943.884096
Pop1_19 1518.81526 2954.41988 3742.40166 2378.27232 2713.11945 958.901738 3677.08887 3677.11449 3636.25988 2717.51101 1321.48059 939.635548
Pop1_20 1495.61742 2951.69078 3737.40902 2366.79178 2718.40569 961.839639 3683.33263 3689.6028 3635.28879 2721.11699 1322.8433 941.07983
Pop1_21 1525.18039 2952.85204 3733.57114 2367.16616 2708.04981 955.561746 3668.2247 3667.21698 3635.06406 2712.66934 1318.09915 941.093153
Pop1_22 1503.52399 2952.95874 3749.73541 2378.91921 2719.38527 960.587666 3677.3678 3679.42393 3637.41965 2720.97564 1319.99688 940.277827
Pop1_23 1506.39569 2945.42512 3733.91394 2367.32958 2714.36759 957.733048 3675.89141 3676.29905 3631.52386 2717.11751 1324.04314 940.330602
Pop1_24 1537.29959 2944.10407 3736.34935 2377.5534 2720.20608 954.382633 3668.48013 3670.6169 3637.48075 2714.46382 1321.28968 941.894754
Pop1_25 1496.33223 2956.51182 3731.23751 2370.16991 2717.86609 957.907195 3685.52131 3681.83614 3647.77996 2724.43663 1320.5676 940.06783
Pop2_1 945.090339 3302.86436 4046.16307 2395.21269 2738.09148 969.818515 3588.02884 3592.48856 3531.16498 2638.83323 1343.30454 953.724217
Pop2_2 951.124309 3309.03574 4062.95689 2399.90484 2746.55585 976.584328 3578.82553 3581.10476 3542.46263 2647.7157 1331.6704 953.487971
Pop2_3 947.207641 3328.42041 4066.56435 2404.69127 2740.63304 974.031007 3581.81828 3583.77826 3540.54629 2641.86283 1336.26049 952.615384
Pop2_4 947.524571 3305.42367 4047.07964 2393.99107 2743.98937 972.8347 3580.43612 3589.44938 3543.71785 2652.28205 1330.81809 949.643985
Pop2_5 949.667018 3308.41142 4047.21297 2402.2282 2735.64977 975.073184 3600.65583 3601.3934 3542.64682 2646.41998 1324.37549 948.663545
Pop2_6 956.592624 3297.55452 4042.35819 2409.88491 2746.92788 978.775959 3587.49282 3583.60172 3547.07357 2652.06074 1343.6427 953.006055
Pop2_7 944.56621 3320.10509 4054.98236 2396.94015 2745.69095 976.491497 3581.62329 3584.76156 3548.09261 2652.95999 1332.2196 956.677977
Pop2_8 941.8725 3302.84804 4044.86792 2401.98918 2726.14021 975.951087 3580.2001 3584.20063 3544.13578 2650.62413 1337.52423 948.511031
Pop2_9 943.945612 3310.83567 4038.09897 2391.24622 2734.54136 970.123556 3584.72725 3584.37614 3555.66588 2660.39183 1337.72358 954.980819
Pop2_10 949.813994 3311.87942 4040.91775 2400.37087 2737.4182 974.292474 3579.92851 3575.82394 3546.42686 2653.41837 1334.84625 949.241603
Pop2_11 945.789598 3306.45979 4053.09133 2389.20333 2736.14288 974.176618 3576.121 3579.80784 3562.15387 2662.15314 1334.04205 951.837338
Pop2_12 948.256365 3322.17367 4063.52235 2408.69584 2744.14311 979.984522 3587.46736 3585.63946 3533.61879 2642.41686 1341.57262 954.939948
