#Cfactor 0.0292987876
Recipient Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop11 Pop12 Pop13
Pop1_1 1545.26791 2897.95741 3681.88495 2337.07584 934.498636 3849.33205 944.262183 3599.5612 3605.68866 3568.37177 2668.69338 547.104127
Pop1_2 1508.04928 2893.52918 3675.00747 2338.19918 935.620608 3860.63452 946.602174 3612.75155 3612.10969 3570.08825 2679.67833 547.383894
Pop1_3 1528.21074 2891.08687 3678.34384 2330.4042 936.403535 3855.14286 943.97283 3620.85277 3620.17826 3568.49509 2668.5397 547.964418
Pop1_4 1520.88022 2904.7472 3687.40341 2340.31855 935.385032 3851.57832 946.76767 3599.16063 3597.95869 3574.17902 2678.18392 549.587985
Pop1_5 1514.92556 2898.70641 3681.94222 2330.75376 937.220854 3854.40812 943.500781 3619.85899 3620.82909 3578.157 2677.46127 546.592185
Pop1_6 1513.50173 2895.22289 3676.28053 2333.47487 936.927097 3856.51357 941.220444 3608.85712 3613.14583 3576.74327 2680.4122 544.938715
Pop1_7 1518.81299 2893.05612 3679.00261 2336.11474 936.522056 3854.96854 945.292577 3616.30573 3617.20167 3585.56851 2679.29909 547.15948
Pop1_8 1510.31163 2890.96326 3675.39997 2328.89825 938.180468 3839.45358 940.293142 3620.91901 3626.86606 3591.02092 2694.29435 546.322966
Pop1_9 1534.6109 2900.05851 3683.51663 2333.51509 937.764656 3852.17215 944.729577 3624.24037 3617.20471 3562.35763 2665.85398 545.101179
Pop1_10 1559.4975 2882.59674 3669.79237 2325.60611 934.488112 3847.08573 942.169454 3617.12636 3619.07286 3592.08994 2686.55102 546.368284
Pop1_11 1527.69665 2897.80415 3677.98016 2330.93046 936.370199 3851.17613 942.583634 3617.68615 3612.83932 3580.5941 2683.24204 545.335618
Pop1_12 1531.80511 2893.85654 3680.70143 2332.13397 937.200712 3852.15296 947.519748 3617.68119 3609.47033 3586.12373 2679.91466 547.492938
Pop1_13 1543.54255 2892.76096 3674.73901 2334.94889 936.083241 3838.26721 942.65332 3607.1097 3604.7919 3587.54449 2683.84998 546.700804
Pop1_14 1531.96129 2882.03226 3673.02422 2330.86121 935.41112 3853.16159 944.046979 3614.06691 3614.09295 3577.4012 2676.71606 547.073752
Pop1_15 1535.94684 2903.80456 3683.75734 2337.76627 936.874276 3849.34726 947.457404 3604.33251 3596.93186 3565.96186 2676.12296 547.028722
Pop1_16 1516.39208 2896.03096 3675.62531 2341.96046 938.692629 3857.80282 944.853524 3616.60599 3615.22369 3585.13225 2680.41437 548.241325
Pop1_17 1514.06341 2896.08927 3685.43182 2333.75575 934.138148 3853.30407 943.712707 3620.76711 3620.29997 3578.37799 2678.4683 546.018122
Pop1_18 1516.90542 2898.43197 3682.15167 2344.02133 935.953015 3849.38111 943.970369 3608.05896 3604.91016 3581.55977 2682.60691 549.506517
Pop1_19 1503.26019 2895.46671 3677.22254 2339.60066 934.393314 3849.61493 944.030013 3621.88948 3626.1892 3576.54613 2679.50443 544.498417
Pop1_20 1530.82983 2885.11942 3673.23655 2334.15181 936.910954 3846.80748 942.961802 3619.92778 3616.27916 3590.41225 2688.86296 546.361557
Pop1_21 1537.66135 2894.04286 3681.08663 2342.76842 935.36237 3850.42672 943.42426 3610.06558 3601.20657 3576.32193 2682.58419 549.473702
Pop1_22 1536.53489 2887.78896 3664.65363 2332.28552 938.01924 3846.31142 942.114408 3610.37831 3614.49486 3588.16924 2688.66919 544.278288
Pop1_23 1517.31592 2890.85146 3677.97026 2328.08951 935.452506 3849.96624 939.594717 3618.47684 3617.98812 3578.02041 2679.50775 547.607269
Pop1_24 1531.02619 2895.40305 3677.7081 2337.97552 937.146417 3851.0401 944.569746 3601.97518 3599.32493 3577.96946 2677.96091 547.329216
Pop1_25 1534.97881 2893.18678 3680.4349 2328.63828 937.801607 3855.95939 942.085842 3605.68527 3599.64011 3582.93759 2680.02079 546.075339
Pop2_1 928.250779 3284.99563 4001.18342 2353.44538 945.040173 3883.68531 966.640463 3523.31614 3530.02826 3478.56749 2603.22082 551.516019
Pop2_2 935.988417 3265.90815 3984.85003 2360.62631 948.101993 3888.55957 963.091997 3517.60164 3516.35944 3500.96431 2618.1962 555.851674
Pop2_3 933.035355 3280.55182 4000.42411 2362.56179 942.436743 3882.18246 964.150518 3512.58539 3513.87054 3496.65997 2606.84558 549.929124
Pop2_4 930.948716 3275.29884 3978.41268 2360.37704 944.727079 3877.63256 964.855163 3516.92694 3509.06725 3497.49699 2615.31822 550.635846
